#clusterId	transcript
1	uc001aaa.3
2	uc001aac.4
2	uc001aae.4
2	uc001aah.4
3	uc001aai.1
4	uc001aak.3
5	uc001aal.1
6	uc001aam.4
7	uc001aaq.2
8	uc001aar.2
9	uc001aau.3
12	uc001aax.1
16	uc001abb.3
18	uc001abe.4
19	uc001abi.2
20	uc001abj.3
22	uc001abl.3
23	uc001abm.2
24	uc001abo.3
26	uc001abp.1
26	uc001abq.1
26	uc001abr.1
27	uc001abt.4
28	uc001abu.1
30	uc001abv.1
30	uc001abw.1
30	uc001abx.1
31	uc001aby.4
31	uc001abz.4
32	uc001aca.2
32	uc001acb.1
32	uc001acc.2
33	uc001acd.3
33	uc001ace.3
33	uc001acf.3
34	uc001acg.2
34	uc001ach.2
35	uc001aci.2
36	uc001acj.4
37	uc001ack.2
38	uc001acl.1
40	uc001acn.2
40	uc001acr.2
40	uc001acs.2
40	uc001act.2
40	uc001acu.2
41	uc001acv.3
42	uc001acw.2
45	uc001acx.1
46	uc001acy.2
46	uc001acz.2
47	uc001ada.3
47	uc001adb.3
47	uc001adc.3
47	uc001add.3
48	uc001ade.3
48	uc001adf.3
49	uc001adg.3
49	uc001adh.4
49	uc001adi.4
49	uc001adj.1
50	uc001adk.3
51	uc001adl.2
52	uc001adm.3
52	uc001ado.3
52	uc001adp.3
52	uc001adq.3
52	uc001adr.3
53	uc001adt.1
53	uc001adu.1
53	uc001adv.2
53	uc001adw.2
53	uc001adx.2
54	uc001ady.2
54	uc001aea.2
54	uc001aeb.2
54	uc001aec.1
55	uc001aed.3
56	uc001aee.1
56	uc001aef.1
56	uc001aeg.1
56	uc001aeh.1
56	uc001aei.1
56	uc001aek.1
56	uc001ael.2
56	uc001aen.1
57	uc001aeo.3
59	uc001aer.4
59	uc001aeu.1
60	uc001aew.3
60	uc001aex.4
60	uc001aey.4
60	uc001aez.3
60	uc001afa.3
61	uc001afb.1
61	uc001afc.2
61	uc001afd.2
62	uc001aff.1
62	uc001afg.1
